name,title
bm_fiscalyear,會計年度
bm_fundkind,(此報表無需使用此TAG)
bm_budgetkind,(此報表無需使用此TAG)
bm_specialbudgetno,(此報表無需使用此TAG)
bm_agenno,機關編號
bm_agentype,機關業務別
bm_budgetstate,預算階段
bm_abroadplan,出國計畫別
bm_projtype,計畫類別
bm_projno,計畫編號
bm_abroadplanname,出國計畫名稱
bm_visitsts,(此報表無需使用此TAG)
bm_visitexplain,(此報表無需使用此TAG)
bm_dispatchstaffs,(此報表無需使用此TAG)
bm_abroadsite1,最近出國地點-1
bm_abroadsite2,最近出國地點-2
bm_abroadsite3,最近出國地點-3
bm_abroadperiod1,最近出國期間起-1
bm_abroadperiodto1,最近出國期間迄-1
bm_abroadperiod2,最近出國期間起-2
bm_abroadperiodto2,最近出國期間迄-2
bm_abroadperiod3,最近出國期間起-3
bm_abroadperiodto3,最近出國期間迄-3
bm_abroadstaffs1,最近出國人數-1
bm_abroadstaffs2,最近出國人數-2
bm_abroadstaffs3,最近出國人數-3
bm_abroadallowance1,最近國外旅費-1
bm_abroadallowance2,最近國外旅費-2
bm_abroadallowance3,最近國外旅費-3
bm_budgetno,預算科目
bm_regionno,領域代碼
bm_country,擬前往國家
bm_agency,(此報表無需使用此TAG)
bm_cont_text,內容
bm_durationfrom,預計前往期間起
bm_durationto,預計前往期間迄
bm_days,預計天數
bm_persons,人數
bm_amt_trans,交通費(元)
bm_amt_life,生活費(元)
bm_amt_public,辦公費(元)
bm_amt_books,(此報表無需使用此TAG)
bm_amt_flight,(此報表無需使用此TAG)
bm_versiondate,(此報表無需使用此TAG)
